location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,verified,application_date,works_outside_US
"Lehigh, PA",Pennsylvania,-2589.19,6,'critical/other existing credit',radio/tv,?,0,>=7,?,'male single',none,4,'real estate',67,none,own,2,skilled,1,yes,n,bad,?,May-07-1994,N
"Mifflin, PA",Pennsylvania,53.51,48,'existing paid',radio/tv,5951,2.52,1<=X<4,2,'female div/dep/mar',none,2,?,22,none,own,1,skilled,1,none,N,bad,?,May-08-1994,n
"Northampton, PA",Pennsylvania,0,12,'critical/other existing credit',education,2096,0,4<=X<7,2,'male single',?,?,'real estate',49,none,?,1,'unskilled resident',2,none,no,B,?,5/9/1994,no
"Northampton, PA",Pennsylvania,-4695.81,42,'existing paid',furniture/equipment,7882,92.15,4<=X<7,2,'male single',guarantor,4,'life insurance',45,none,'for free',1,skilled,2,?,n,Bad,?,5/10/1994,N
"Westmoreland, PA",Pennsylvania,-9540.2,24,'delayed previously',?,4870,39.81,1<=X<4,3,'male single',none,4,'no known property',53,none,'for free',2,skilled,2,none,NO,Good,?,5/11/1994,NO
"Westmoreland, PA",Pennsylvania,0,36,'existing paid',education,9055,0,1<=X<4,?,'male single',none,4,'no known property',35,none,'for free',1,'unskilled resident',2,yes,yes,Bad,?,5/12/1994,yes
"Philadelphia, PA",Pennsylvania,0,24,'existing paid',?,2835,0,>=7,3,'male single',none,4,'life insurance',534534,none,?,1,skilled,1,none,No,good,?,5/13/1994,NO
"Allegheny, PA",Pennsylvania,38.12,36,?,'used car',6948,20.69,1<=X<4,2,'male single',none,2,car,35,none,?,1,'high qualif/self emp/mgmt',?,yes,Yes,bad,?,5/14/1994,YES
"Allegheny, PA",Pennsylvania,0,12,'existing paid',radio/tv,3059,0,?,2,'male div/sep',none,4,'real estate',61,none,own,?,'unskilled resident',1,none,Yes,good,?,5/15/1994,YES
"Providence, RI",Rhodes Island,101.81,30,'critical/other existing credit','new car',5234,85.64,unemployed,4,'male mar/wid',none,2,car,28,none,own,2,'high qualif/self emp/mgmt',1,none,no,Bad,?,5/16/1994,no
"Aiken, SC",South Carolina,130.75,12,'existing paid','new car',1295,99.76,<1,3,'female div/dep/mar',none,?,car,?,?,rent,1,skilled,1,none,YES,B,?,5/17/1994,YES
"Anderson, SC",South Carolina,-1950.83,48,'existing paid',business,4308,69.51,<1,3,'female div/dep/mar',none,4,'life insurance',24,none,rent,?,skilled,?,none,1,good,?,5/18/1994,1
"Anderson, SC",South Carolina,15.12,12,'existing paid',radio/tv,1567,89.2,?,1,'female div/dep/mar',none,1,car,22,none,own,1,skilled,1,yes,1,B,?,5/19/1994,1
"Charleston, SC",South Carolina,0,24,'critical/other existing credit','new car',1199,0,>=7,4,'male single',none,?,car,60,none,own,2,'unskilled resident',1,none,no,G,?,5/20/1994,no
"Charleston, SC",South Carolina,-6002.72,15,'existing paid','new car',1403,42.11,1<=X<4,2,?,none,4,car,?,none,rent,?,skilled,1,none,Y,GOOD,?,5/21/1994,Y
"Chester, SC",South Carolina,-787.62,24,'existing paid',radio/tv,1282,247,?,4,'female div/dep/mar',none,?,car,32,none,own,1,'unskilled resident',1,none,1,Good,?,5/22/1994,1
"Chester, SC",South Carolina,0,?,'critical/other existing credit',radio/tv,2424,0,?,4,'male single',none,4,'life insurance',?,none,own,2,skilled,1,none,YES,GOOD,?,5/23/1994,YES
"Dillon, SC",South Carolina,-9440.86,30,'no credits/all paid',business,8072,0,<1,?,'male single',none,3,car,25,bank,own,3,skilled,1,none,Y,bad,?,5/24/1994,Y
"Dillon, SC",South Carolina,64.89,24,'existing paid','used car',?,2.66,>=7,4,'female div/dep/mar',none,2,'no known property',?,none,'for free',?,'high qualif/self emp/mgmt',?,yes,1,Bad,?,5/25/1994,1
"Florence, SC",South Carolina,0,24,?,radio/tv,3430,0,>=7,3,'male single',?,2,car,31,none,own,1,skilled,?,yes,Yes,bad,?,5/26/1994,YES
