location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,year,month,class
Other,Pennsylvania,-2589.19,6.0,critical/other existing credit,radio/tv,2315.0,0.0,>=7,-1,male single,none,4,real estate,67,none,own,2,skilled,1,yes,NO,1994,5,BAD
Other,Pennsylvania,53.51,48.0,existing paid,radio/tv,5951.0,2.52,1<=X<4,2,female div/dep/mar,none,2,no known property,22,none,own,1,skilled,1,none,NO,1994,5,BAD
Other,Pennsylvania,0.0,12.0,critical/other existing credit,education,2096.0,0.0,4<=X<7,2,male single,unknown,-1,real estate,49,none,unknown,1,unskilled resident,2,none,NO,1994,5,BAD
Other,Pennsylvania,-4695.81,42.0,existing paid,furniture/equipment,7882.0,92.15,4<=X<7,2,male single,guarantor,4,life insurance,45,none,for free,1,skilled,2,unknown,NO,1994,5,BAD
Other,Pennsylvania,-9540.2,24.0,delayed previously,unknown,4870.0,39.81,1<=X<4,3,male single,none,4,no known property,53,none,for free,2,skilled,2,none,NO,1994,5,GOOD
Other,Pennsylvania,0.0,36.0,existing paid,education,9055.0,0.0,1<=X<4,-1,male single,none,4,no known property,35,none,for free,1,unskilled resident,2,yes,YES,1994,5,BAD
Other,Pennsylvania,38.12,36.0,unknown,used car,6948.0,20.69,1<=X<4,2,male single,none,2,car,35,none,unknown,1,high qualif/self emp/mgmt,1,yes,YES,1994,5,BAD
Other,Pennsylvania,0.0,12.0,existing paid,radio/tv,3059.0,0.0,unknown,2,male div/sep,none,4,real estate,61,none,own,-1,unskilled resident,1,none,YES,1994,5,GOOD
Other,Rhode Island,101.81,30.0,critical/other existing credit,new car,5234.0,85.64,unemployed,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,NO,1994,5,BAD
Other,South Carolina,130.75,12.0,existing paid,new car,1295.0,99.76,<1,3,female div/dep/mar,none,-1,car,33,unknown,rent,1,skilled,1,none,YES,1994,5,BAD
Other,South Carolina,-1950.83,48.0,existing paid,business,4308.0,69.51,<1,3,female div/dep/mar,none,4,life insurance,24,none,rent,-1,skilled,1,none,YES,1994,5,GOOD
Other,South Carolina,15.12,12.0,existing paid,radio/tv,1567.0,89.2,unknown,1,female div/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,YES,1994,5,BAD
Other,South Carolina,0.0,24.0,critical/other existing credit,new car,1199.0,0.0,>=7,4,male single,none,-1,car,60,none,own,2,unskilled resident,1,none,NO,1994,5,GOOD
Other,South Carolina,-6002.72,15.0,existing paid,new car,1403.0,42.11,1<=X<4,2,unknown,none,4,car,33,none,rent,-1,skilled,1,none,YES,1994,5,GOOD
Other,South Carolina,-787.62,24.0,existing paid,radio/tv,1282.0,247.0,unknown,4,female div/dep/mar,none,-1,car,32,none,own,1,unskilled resident,1,none,YES,1994,5,GOOD
Other,South Carolina,0.0,18.0,critical/other existing credit,radio/tv,2424.0,0.0,unknown,4,male single,none,4,life insurance,33,none,own,2,skilled,1,none,YES,1994,5,GOOD
Other,South Carolina,-9440.86,30.0,no credits/all paid,business,8072.0,0.0,<1,-1,male single,none,3,car,25,bank,own,3,skilled,1,none,YES,1994,5,BAD
