state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,total,proportion,gender,class
Pennsylvania,-2589.19,6.0,Bad,radio/tv,2315.0,0.0,4,-1,male single,none,4,real estate,67,none,own,2,skilled,1,yes,NO,-274.19000000000005,-1.1179576856649396,male,BAD
Pennsylvania,53.51,48.0,Good,radio/tv,5951.0,2.52,2,2,female div/dep/mar,none,2,no known property,22,none,own,1,skilled,1,none,NO,6007.03,0.00941364247311828,female,BAD
Pennsylvania,0.0,12.0,Bad,education,2096.0,0.0,3,2,male single,unknown,-1,real estate,49,none,unknown,1,unskilled resident,2,none,NO,2096.0,0.0,male,BAD
Pennsylvania,-4695.81,42.0,Good,furniture/equipment,7882.0,92.15,3,2,male single,guarantor,4,life insurance,45,none,for free,1,skilled,2,unknown,NO,3278.3399999999992,-0.5839984777369023,male,BAD
Pennsylvania,-9540.2,24.0,Moderate,other,4870.0,39.81,2,3,male single,none,4,no known property,53,none,for free,2,skilled,2,none,NO,-4630.390000000001,-1.9503982755081095,male,GOOD
Pennsylvania,0.0,36.0,Good,education,9055.0,0.0,2,-1,male single,none,4,no known property,35,none,for free,1,unskilled resident,2,yes,YES,9055.0,0.0,male,BAD
Pennsylvania,38.12,36.0,Moderate,used car,6948.0,20.69,2,2,male single,none,2,car,35,none,unknown,1,high qualif/self emp/mgmt,1,yes,YES,7006.81,0.00846308821413153,male,BAD
Pennsylvania,0.0,12.0,Good,radio/tv,3059.0,0.0,0,2,male div/sep,none,4,real estate,61,none,own,-1,unskilled resident,1,none,YES,3059.0,0.0,male,GOOD
Rhode Island,101.81,30.0,Bad,new car,5234.0,85.64,0,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,NO,5421.45,0.03580706781279847,male,BAD
South Carolina,130.75,12.0,Good,new car,1295.0,99.76,1,3,female div/dep/mar,none,-1,car,33,unknown,rent,1,skilled,1,none,YES,1525.51,0.17786265432098763,female,BAD
South Carolina,-1950.83,48.0,Good,business,4308.0,69.51,1,3,female div/dep/mar,none,4,life insurance,24,none,rent,-1,skilled,1,none,YES,2426.6800000000003,-0.43660245996750985,female,GOOD
South Carolina,15.12,12.0,Good,radio/tv,1567.0,89.2,0,1,female div/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,YES,1671.32,0.06653061224489797,female,BAD
South Carolina,0.0,24.0,Bad,new car,1199.0,0.0,4,4,male single,none,-1,car,60,none,own,2,unskilled resident,1,none,NO,1199.0,0.0,male,GOOD
South Carolina,-6002.72,15.0,Good,new car,1403.0,42.11,2,2,unknown,none,4,car,33,none,rent,-1,skilled,1,none,YES,-4557.610000000001,-4.245448717948718,unknown,GOOD
South Carolina,-787.62,24.0,Good,radio/tv,1282.0,247.0,0,4,female div/dep/mar,none,-1,car,32,none,own,1,unskilled resident,1,none,YES,741.38,-0.4213717848791894,female,GOOD
South Carolina,0.0,18.0,Bad,radio/tv,2424.0,0.0,0,4,male single,none,4,life insurance,33,none,own,2,skilled,1,none,YES,2424.0,0.0,male,GOOD
South Carolina,-9440.86,30.0,Moderate,business,8072.0,0.0,1,-1,male single,none,3,car,25,bank,own,3,skilled,1,none,YES,-1368.8600000000006,-1.1694363929146538,male,BAD
South Carolina,64.89,24.0,Good,used car,2315.0,2.66,4,4,female div/dep/mar,none,2,no known property,33,none,for free,-1,high qualif/self emp/mgmt,1,yes,YES,2382.55,0.029166666666666667,female,BAD
South Carolina,0.0,24.0,Moderate,radio/tv,3430.0,0.0,4,3,male single,unknown,2,car,31,none,own,1,skilled,1,yes,YES,3430.0,0.0,male,BAD
South Carolina,0.0,18.0,Bad,new car,2134.0,0.0,2,4,male single,none,4,car,48,none,own,3,skilled,1,yes,YES,2134.0,0.0,male,GOOD
South Carolina,-864.51,6.0,Good,radio/tv,2647.0,742.31,2,2,male single,none,3,real estate,44,none,rent,1,skilled,2,none,YES,2524.8,-0.046148036253776455,male,GOOD
South Carolina,-5730.5,10.0,Bad,new car,2241.0,41.19,0,1,male single,unknown,3,real estate,48,none,rent,2,unknown,2,none,YES,-3448.3100000000004,-2.5376048171275647,male,BAD
South Carolina,104.66,12.0,Bad,used car,1804.0,438.95,1,3,male single,none,4,no known property,44,none,own,1,skilled,1,unknown,YES,2347.61,0.3011689750692521,male,GOOD
South Carolina,0.0,10.0,Bad,other,2069.0,0.0,2,2,male mar/wid,none,1,car,26,none,own,2,skilled,1,none,YES,2069.0,0.0,male,BAD
South Carolina,0.0,6.0,Good,furniture/equipment,2315.0,0.0,2,1,male single,none,-1,real estate,36,bank,own,1,unskilled resident,1,yes,NO,2315.0,0.0,male,GOOD
South Carolina,0.0,6.0,Moderate,radio/tv,426.0,0.0,0,-1,male mar/wid,none,4,car,39,none,own,1,unskilled resident,1,none,NO,426.0,0.0,male,GOOD
South Carolina,2577.11,12.0,Good,radio/tv,409.0,2599.63,2,3,female div/dep/mar,none,-1,real estate,42,none,rent,2,unknown,1,none,NO,5585.74,12.62619512195122,female,GOOD
South Carolina,184.53,7.0,Good,radio/tv,2415.0,67.24,2,-1,male single,guarantor,2,real estate,34,none,own,-1,unknown,1,none,NO,2666.77,0.1042094370860927,male,GOOD
South Carolina,-3479.0,60.0,Moderate,business,6836.0,26.85,4,-1,male single,none,4,no known property,63,unknown,own,2,skilled,1,yes,YES,3383.85,-0.5049217493052508,male,GOOD
South Carolina,0.0,18.0,Good,business,1913.0,0.0,0,3,male mar/wid,unknown,3,real estate,36,bank,own,1,skilled,1,yes,NO,1913.0,0.0,male,GOOD
South Carolina,-5072.05,24.0,Good,furniture/equipment,4020.0,12.54,0,2,male single,none,2,car,27,stores,own,1,skilled,1,none,YES,-1039.5100000000002,-1.2582715742352648,male,GOOD
South Carolina,65.97,18.0,Good,new car,5866.0,265.12,2,2,male single,none,2,car,33,none,own,2,skilled,1,yes,NO,6197.09,0.056432589057439926,male,BAD
South Dakota,0.0,12.0,Bad,business,1264.0,0.0,0,4,male single,none,4,no known property,57,none,rent,1,unskilled resident,1,unknown,YES,1264.0,0.0,male,BAD
South Dakota,978.69,12.0,Good,furniture/equipment,2315.0,41.34,1,4,female div/dep/mar,none,1,life insurance,33,bank,unknown,1,high qualif/self emp/mgmt,1,unknown,YES,3335.03,0.4404274611398964,female,GOOD
Tennessee,163.0,45.0,Bad,radio/tv,4746.0,0.0,1,4,male single,none,2,life insurance,25,none,own,2,unknown,1,none,NO,4909.0,0.034337476300821575,male,GOOD
Tennessee,0.0,48.0,Bad,education,6110.0,0.0,2,1,male single,none,3,no known property,31,bank,for free,1,skilled,1,unknown,YES,6110.0,0.0,male,GOOD
Tennessee,6976.08,18.0,Good,radio/tv,2100.0,4.69,0,4,male single,co applicant,2,real estate,37,stores,own,1,skilled,1,none,YES,9080.77,3.3225940028557828,male,BAD
Tennessee,5588.7,10.0,Good,domestic appliance,1225.0,0.0,2,2,male single,none,-1,car,37,none,own,1,skilled,1,yes,YES,6813.7,4.558482871125611,male,GOOD
Tennessee,47.76,9.0,Good,radio/tv,458.0,0.0,2,4,male single,none,3,real estate,24,none,own,-1,skilled,1,none,NO,505.76,0.10405228758169935,male,GOOD
Tennessee,0.0,30.0,Good,radio/tv,2333.0,0.0,0,4,male single,none,2,car,30,bank,own,-1,high qualif/self emp/mgmt,1,none,NO,2333.0,0.0,male,GOOD
Tennessee,150.32,18.0,Good,radio/tv,1158.0,0.0,2,3,male div/sep,none,1,car,26,none,own,-1,skilled,1,yes,NO,1308.32,0.12969801553062985,male,BAD
Tennessee,158.94,18.0,Moderate,repairs,6204.0,24.41,2,2,male single,none,4,real estate,44,none,own,1,unskilled resident,2,unknown,YES,6387.35,0.029548751007252214,male,GOOD
Tennessee,-913.07,30.0,Moderate,used car,6187.0,224.1,3,1,male mar/wid,none,-1,car,24,none,rent,2,skilled,1,none,YES,5498.03,-0.11133968972204267,male,BAD
Tennessee,-8599.14,48.0,Bad,used car,6143.0,14.18,4,4,female div/dep/mar,none,4,no known property,58,stores,for free,2,unskilled resident,1,none,YES,-2441.959999999999,-1.3972916666666666,female,BAD
Tennessee,0.0,11.0,Moderate,new car,1393.0,0.0,1,4,female div/dep/mar,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,none,NO,1393.0,0.0,female,GOOD
Tennessee,0.0,36.0,Moderate,radio/tv,2315.0,0.0,4,4,male single,none,4,car,39,none,own,1,skilled,1,none,YES,2315.0,0.0,male,GOOD
Tennessee,-1631.58,6.0,Good,used car,2315.0,0.0,0,1,female div/dep/mar,none,2,no known property,23,none,rent,1,unemp/unskilled non res,1,yes,YES,683.4200000000001,-0.704481865284974,female,BAD
Texas,0.0,11.0,Bad,new car,7228.0,0.0,2,1,male single,none,4,life insurance,39,none,unknown,2,unskilled resident,1,none,NO,7228.0,0.0,male,GOOD
Texas,0.0,12.0,Moderate,radio/tv,2073.0,0.0,0,4,female div/dep/mar,co applicant,2,real estate,28,none,own,1,skilled,1,none,NO,2073.0,0.0,female,GOOD
Texas,166.03,24.0,Moderate,furniture/equipment,2333.0,0.0,1,4,male single,none,2,no known property,29,bank,own,1,unskilled resident,1,none,YES,2499.03,0.07113538988860325,male,GOOD
Texas,180.59,27.0,Moderate,used car,5965.0,42.7,4,1,male single,none,2,car,30,none,own,-1,high qualif/self emp/mgmt,1,yes,NO,6188.29,0.03742708682534362,male,BAD
Texas,0.0,12.0,Good,radio/tv,1262.0,0.0,2,3,male single,none,2,car,25,none,own,1,skilled,1,none,NO,1262.0,0.0,male,GOOD
Texas,0.0,18.0,Good,used car,3378.0,0.0,2,2,male single,none,1,no known property,31,none,own,1,skilled,1,yes,NO,3378.0,0.0,male,GOOD
Texas,127.36,36.0,Moderate,new car,2225.0,41.6,4,4,male single,none,4,no known property,57,bank,for free,2,skilled,1,unknown,YES,2393.96,0.07590296495956873,male,GOOD
Texas,0.0,6.0,Good,new car,783.0,0.0,0,1,male single,guarantor,2,real estate,26,unknown,own,1,unskilled resident,2,none,YES,783.0,0.0,male,GOOD
Texas,114.16,12.0,Good,radio/tv,6468.0,0.0,0,2,unknown,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,yes,NO,6582.16,0.017647240686350287,unknown,GOOD
Texas,0.0,36.0,Bad,radio/tv,9566.0,0.0,2,2,female div/dep/mar,unknown,2,car,31,unknown,own,2,unknown,1,none,NO,9566.0,0.0,female,BAD
Texas,3235.45,18.0,Moderate,new car,1961.0,65.36,0,3,female div/dep/mar,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,none,YES,5261.8099999999995,1.6823700305810396,female,GOOD
Texas,-9972.01,36.0,Bad,furniture/equipment,6229.0,35.8,1,-1,female div/dep/mar,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,unknown,YES,-3707.210000000001,-1.594897271268058,female,GOOD
Texas,75.44,9.0,Good,business,1391.0,65.13,2,2,male mar/wid,unknown,1,real estate,33,bank,own,1,skilled,1,yes,YES,1531.57,0.10098419540229885,male,GOOD
Texas,158.6,15.0,Bad,radio/tv,1537.0,0.0,4,4,male single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,YES,1695.6,0.10312093628088426,male,BAD
Texas,163.79,36.0,Moderate,business,1953.0,78.33,4,4,male single,none,4,no known property,61,none,for free,1,high qualif/self emp/mgmt,1,yes,NO,2195.12,0.12390992835209826,male,GOOD
Texas,139.83,48.0,Moderate,business,14421.0,25.59,2,2,male single,none,2,car,25,none,own,1,skilled,1,yes,NO,14586.42,0.011469976424906395,male,GOOD
Texas,0.0,18.0,Good,radio/tv,3181.0,0.0,1,-1,female div/dep/mar,none,-1,life insurance,26,none,own,1,skilled,1,yes,NO,3181.0,0.0,female,GOOD
Texas,0.0,27.0,Good,repairs,5190.0,0.0,4,4,male single,none,4,life insurance,48,none,own,4,skilled,2,yes,YES,5190.0,0.0,male,BAD
Texas,0.0,12.0,Good,radio/tv,2171.0,0.0,0,2,female div/dep/mar,unknown,2,car,29,bank,own,1,skilled,1,none,NO,2171.0,0.0,female,BAD
Texas,59.47,12.0,Good,new car,1007.0,0.0,2,4,male mar/wid,unknown,1,real estate,33,none,own,1,skilled,1,none,YES,1066.47,0.05899801587301587,male,BAD
Texas,0.0,36.0,Good,other,1819.0,0.0,2,4,male single,none,4,no known property,33,stores,for free,-1,unknown,1,yes,YES,1819.0,0.0,male,GOOD
Texas,0.0,36.0,Good,radio/tv,2394.0,0.0,2,4,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,YES,2394.0,0.0,female,BAD
Texas,0.0,18.0,Good,used car,8133.0,0.0,0,-1,female div/dep/mar,none,2,life insurance,30,unknown,own,1,skilled,1,unknown,NO,8133.0,0.0,female,BAD
Texas,0.0,7.0,Bad,radio/tv,730.0,0.0,4,4,male single,none,2,life insurance,33,none,rent,2,unskilled resident,1,yes,NO,730.0,0.0,male,GOOD
Texas,0.0,8.0,Bad,other,1164.0,0.0,4,3,male single,none,-1,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,yes,YES,1164.0,0.0,male,GOOD
Texas,0.0,42.0,Moderate,business,5954.0,0.0,3,2,female div/dep/mar,none,1,real estate,41,bank,own,2,unskilled resident,1,none,YES,5954.0,0.0,female,BAD
Texas,-220.84,36.0,Good,education,1977.0,0.0,4,4,male single,none,4,no known property,40,none,unknown,-1,high qualif/self emp/mgmt,1,yes,YES,1756.16,-0.11164812942366026,male,BAD
Texas,-6131.59,12.0,Bad,used car,1526.0,53.54,4,4,male single,none,4,no known property,66,none,for free,2,high qualif/self emp/mgmt,1,none,NO,-4552.05,-3.980386378519974,male,GOOD
Texas,0.0,42.0,Good,other,2315.0,0.0,1,-1,male single,none,-1,car,34,none,unknown,1,skilled,1,none,YES,2315.0,0.0,male,BAD
Texas,160.21,11.0,Moderate,radio/tv,4771.0,0.0,3,2,male single,none,4,life insurance,51,none,own,1,skilled,1,none,YES,4931.21,0.033572925398155914,male,BAD
Texas,0.0,54.0,Moderate,other,9436.0,0.0,2,2,male single,none,2,life insurance,39,none,own,1,unskilled resident,1,none,YES,9436.0,0.0,male,GOOD
