state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,total,proportion,gender,class
Pennsylvania,1,0,Bad,radio/tv,4,0,4,-1,male single,none,4,real estate,4,none,own,2,skilled,1,yes,NO,1,1,male,BAD
Pennsylvania,4,7,Good,radio/tv,8,0,2,2,female div/dep/mar,none,2,no known property,1,none,own,1,skilled,1,none,NO,8,2,female,BAD
Pennsylvania,2,1,Bad,education,3,0,3,2,male single,unknown,-1,real estate,3,none,unknown,1,unskilled resident,2,none,NO,4,1,male,BAD
Pennsylvania,1,7,Good,furniture/equipment,9,0,3,2,male single,guarantor,4,life insurance,3,none,for free,1,skilled,2,unknown,NO,6,1,male,BAD
Pennsylvania,0,4,Moderate,other,8,0,2,3,male single,none,4,no known property,3,none,for free,2,skilled,2,none,NO,0,1,male,GOOD
Pennsylvania,2,6,Good,education,9,0,2,-1,male single,none,4,no known property,2,none,for free,1,unskilled resident,2,yes,YES,9,1,male,BAD
Pennsylvania,4,6,Moderate,used car,9,0,2,2,male single,none,2,car,2,none,unknown,1,high qualif/self emp/mgmt,1,yes,YES,8,2,male,BAD
Pennsylvania,2,1,Good,radio/tv,6,0,0,2,male div/sep,none,4,real estate,3,none,own,-1,unskilled resident,1,none,YES,6,1,male,GOOD
Rhode Island,5,6,Bad,new car,8,0,0,4,male mar/wid,none,2,car,2,none,own,2,high qualif/self emp/mgmt,1,none,NO,8,2,male,BAD
South Carolina,5,1,Good,new car,1,0,1,3,female div/dep/mar,none,-1,car,2,unknown,rent,1,skilled,1,none,YES,3,2,female,BAD
South Carolina,1,7,Good,business,8,0,1,3,female div/dep/mar,none,4,life insurance,1,none,rent,-1,skilled,1,none,YES,5,1,female,GOOD
South Carolina,4,1,Good,radio/tv,2,0,0,1,female div/dep/mar,none,1,car,1,none,own,1,skilled,1,yes,YES,4,2,female,BAD
South Carolina,2,4,Bad,new car,1,0,4,4,male single,none,-1,car,3,none,own,2,unskilled resident,1,none,NO,2,1,male,GOOD
South Carolina,0,2,Good,new car,2,0,2,2,unknown,none,4,car,2,none,rent,-1,skilled,1,none,YES,0,0,unknown,GOOD
South Carolina,2,4,Good,radio/tv,1,1,0,4,female div/dep/mar,none,-1,car,2,none,own,1,unskilled resident,1,none,YES,2,1,female,GOOD
South Carolina,2,2,Bad,radio/tv,5,0,0,4,male single,none,4,life insurance,2,none,own,2,skilled,1,none,YES,5,1,male,GOOD
South Carolina,0,6,Moderate,business,9,0,1,-1,male single,none,3,car,1,bank,own,3,skilled,1,none,YES,1,1,male,BAD
